Country,ScenarioLabel,TreatmentYear,PreferredConvention,Year,TreatedOutcome,SyntheticOutcome,GapLevel,GapPct
Chile,2010 baseline start,2010,True,2007,2161353.107,2247255.21946893,-85902.11246892996,-3.9744598969376073
Chile,2010 baseline start,2010,True,2008,2215647.95,2293378.3654908645,-77730.41549086431,-3.5082475756522733
Chile,2010 baseline start,2010,True,2009,2185788.523,2254495.9057844034,-68707.3827844034,-3.1433682655677204
Chile,2010 baseline start,2010,True,2010,2200720.16,2279507.7678879183,-78787.60788791813,-3.5800829801058454
Chile,2010 baseline start,2010,True,2011,2390392.714,2495276.6879102727,-104883.97391027259,-4.387729819288287
Chile,2010 baseline start,2010,True,2012,2484540.292,2515843.796078178,-31303.5040781782,-1.2599314319422679
Chile,2010 baseline start,2010,True,2013,2595026.948,2697037.7527386416,-102010.80473864172,-3.9310113838032374
Chile,2010 baseline start,2010,True,2014,2797294.751,3000483.4013545187,-203188.65035451856,-7.263755465235867
Chile,2010 baseline start,2010,True,2015,3128744.949,3232634.673320572,-103889.72432057187,-3.3204919548899885
Chile,2010 baseline start,2010,True,2016,3153363.4950981685,3307525.98719054,-154162.49209237145,-4.888827194581706
Chile,2010 baseline start,2010,True,2017,3127655.629002725,3345185.218479542,-217529.5894768173,-6.955036464362227
Chile,2010 baseline start,2010,True,2018,3340806.7888052226,3498288.370947,-157481.5821417775,-4.713878775315164
Chile,2010 baseline start,2010,True,2019,3279486.748841041,3495374.8409079053,-215888.09206686448,-6.582984125279927
Chile,2010 baseline start,2010,True,2020,3176952.517283234,3311333.3907628716,-134380.87347963778,-4.229867231209152
Chile,2010 baseline start,2010,True,2021,3426979.2132610865,3610310.068783994,-183330.85552290734,-5.3496343022300135
Chile,2010 baseline start,2010,True,2022,3478686.753386885,3681374.3707526536,-202687.61736576864,-5.826555586484754
Chile,2010 baseline start,2010,True,2023,3479062.929101846,3660621.4807468266,-181558.55164498044,-5.218604990621758
Chile,2011 placebo start,2011,False,1985,856455.2804,993875.5647409804,-137420.28434098035,-16.045237560658087
Chile,2011 placebo start,2011,False,1986,913021.4595,1043277.587729967,-130256.12822996697,-14.266491425217916
Chile,2011 placebo start,2011,False,1987,937390.8662,1105010.2102977675,-167619.3440977675,-17.881478275680628
Chile,2011 placebo start,2011,False,1988,1009180.574,1138365.9886499215,-129185.41464992147,-12.801020746751062
Chile,2011 placebo start,2011,False,1989,1033344.581,1176260.985944875,-142916.40494487504,-13.830469290947493
Chile,2011 placebo start,2011,False,1990,1067627.18,1200840.9868243223,-133213.80682432232,-12.477558582231143
Chile,2011 placebo start,2011,False,1991,1165204.032,1209348.7579001635,-44144.72590016364,-3.7885833457331914
Chile,2011 placebo start,2011,False,1992,1330369.726,1322390.3719153407,7979.354084659368,0.599784701103411
Chile,2011 placebo start,2011,False,1993,1346841.761,1383524.9284377662,-36683.16743776621,-2.7236434524074884
Chile,2011 placebo start,2011,False,1994,1489088.481,1445307.6236198188,43780.857380181085,2.9401112115768955
Chile,2011 placebo start,2011,False,1995,1600176.293,1523357.2894157593,76819.0035842408,4.800658772429445
Chile,2011 placebo start,2011,False,1996,1597085.711,1587077.2736504292,10008.437349570682,0.6266687680339957
Chile,2011 placebo start,2011,False,1997,1636252.443,1658172.0505696302,-21919.607569630258,-1.339622603064939
Chile,2011 placebo start,2011,False,1998,1661033.28,1699650.0682202599,-38616.78822025983,-2.32486541270623
Chile,2011 placebo start,2011,False,1999,1642218.688,1685439.5287934428,-43220.84079344268,-2.6318565918939703
Chile,2011 placebo start,2011,False,2000,1779899.31,1803682.5300540728,-23783.220054072794,-1.3362115441278974
Chile,2011 placebo start,2011,False,2001,1857114.713,1819962.7771622268,37151.93583777314,2.00051916974787
Chile,2011 placebo start,2011,False,2002,1857540.161,1892886.804070106,-35346.64307010593,-1.9028736935128872
Chile,2011 placebo start,2011,False,2003,1893727.082,1885640.101675171,8086.980324828997,0.4270404326841114
Chile,2011 placebo start,2011,False,2004,1980969.704,1999931.896423366,-18962.19242336601,-0.9572176891487691
Chile,2011 placebo start,2011,False,2005,2125212.491,2080662.9398905651,44549.551109434804,2.096239848866708
Chile,2011 placebo start,2011,False,2006,2234582.32,2137432.0047140536,97150.31528594624,4.347582741366461
Chile,2011 placebo start,2011,False,2007,2161353.107,2173849.071009668,-12495.964009668212,-0.5781546739955348
