Country,ScenarioOrder,ScenarioLabel,Year,GapPct,Treated,Synthetic
Chile,3,Exclude adjacent + near-ring,2015,3.657419830230639,3128744.949,3018351.1745943855
Chile,3,Exclude adjacent + near-ring,2016,3.1412346941361293,3153363.4950981685,3057325.7189032333
Chile,3,Exclude adjacent + near-ring,2017,-0.22023312372838902,3127655.629002725,3134558.966128939
Chile,3,Exclude adjacent + near-ring,2018,1.9783019539189883,3340806.7888052226,3275997.663027215
Chile,3,Exclude adjacent + near-ring,2019,-0.523521420349576,3279486.748841041,3296745.9199062507
New Zealand,1,Baseline donor pool,2000,0.0006618149516935379,26604.0,26603.823931915496
New Zealand,1,Baseline donor pool,2001,-1.9421911038218407,27799.0,28349.6034766931
New Zealand,1,Baseline donor pool,2002,-1.824994258394302,29500.0,30048.381232228603
New Zealand,1,Baseline donor pool,2003,0.15902813643841002,30895.0,30845.946266485615
New Zealand,1,Baseline donor pool,2004,-0.28850102741446787,32739.0,32833.725635797724
New Zealand,1,Baseline donor pool,2005,1.4804796691658721,35268.0,34753.48176809607
New Zealand,1,Baseline donor pool,2006,-0.0911835957543382,36686.0,36719.48214416142
New Zealand,1,Baseline donor pool,2007,0.9556108876661557,38512.0,38147.458730998624
New Zealand,1,Baseline donor pool,2008,0.2210674123487568,40998.0,40907.56670083961
New Zealand,1,Baseline donor pool,2009,-0.5396368255259019,41846.0,42073.041626234
New Zealand,1,Baseline donor pool,2010,0.4951503370411278,42420.0,42210.992130198916
New Zealand,1,Baseline donor pool,2011,1.3243747758202014,44623.0,44039.748677184754
New Zealand,1,Baseline donor pool,2012,3.6085673341285025,47514.0,45859.141982700654
New Zealand,1,Baseline donor pool,2013,7.642073588425173,49482.0,45969.01411356761
New Zealand,1,Baseline donor pool,2014,11.968225903869833,54177.0,48386.04841923064
New Zealand,1,Baseline donor pool,2015,13.675256356031698,55460.0,48788.10198263278
New Zealand,1,Baseline donor pool,2016,12.525421376545776,55712.0,49510.589979103446
New Zealand,1,Baseline donor pool,2017,7.73961184392635,56067.0,52039.355851049215
New Zealand,1,Baseline donor pool,2018,6.154641796561041,59214.0,55780.88625976437
New Zealand,1,Baseline donor pool,2019,5.425409290035865,60963.0,57825.71811723745
New Zealand,2,Exclude Auckland and Wellington,2000,8.110449951701645,26604.0,24608.166936577676
New Zealand,2,Exclude Auckland and Wellington,2001,3.014058596299622,27799.0,26985.637085653638
New Zealand,2,Exclude Auckland and Wellington,2002,0.9351588232089938,29500.0,29226.68408504726
New Zealand,2,Exclude Auckland and Wellington,2003,4.261047419718186,30895.0,29632.351453009705
New Zealand,2,Exclude Auckland and Wellington,2004,4.035889194074847,32739.0,31468.94812320649
New Zealand,2,Exclude Auckland and Wellington,2005,5.586935083591726,35268.0,33401.85977751775
New Zealand,2,Exclude Auckland and Wellington,2006,5.297778264614544,36686.0,34840.241270625535
New Zealand,2,Exclude Auckland and Wellington,2007,3.5042321630298976,38512.0,37208.140377622054
New Zealand,2,Exclude Auckland and Wellington,2008,3.8978946996318022,40998.0,39459.894850155506
New Zealand,2,Exclude Auckland and Wellington,2009,2.629603115068427,41846.0,40773.8106061681
New Zealand,2,Exclude Auckland and Wellington,2010,3.0491357538653214,42420.0,41164.82849630192
New Zealand,2,Exclude Auckland and Wellington,2011,4.504241129256744,44623.0,42699.70244060024
New Zealand,2,Exclude Auckland and Wellington,2012,7.143001750991069,47514.0,44346.34014681271
New Zealand,2,Exclude Auckland and Wellington,2013,11.963671066093037,49482.0,44194.69237552097
New Zealand,2,Exclude Auckland and Wellington,2014,13.652964991156374,54177.0,47668.79597396834
New Zealand,2,Exclude Auckland and Wellington,2015,16.91995035368056,55460.0,47434.1631451558
New Zealand,2,Exclude Auckland and Wellington,2016,13.816099975840407,55712.0,48949.13813759733
New Zealand,2,Exclude Auckland and Wellington,2017,9.726335212298595,56067.0,51097.12257455927
New Zealand,2,Exclude Auckland and Wellington,2018,8.940812839279369,59214.0,54354.285099156135
New Zealand,2,Exclude Auckland and Wellington,2019,7.536845640369534,60963.0,56690.33682080998
New Zealand,3,Exclude adjacent South Island ring,2000,-1.8152908275799244,26604.0,27095.86882136737
New Zealand,3,Exclude adjacent South Island ring,2001,-4.180375368622547,27799.0,29011.802234609084
New Zealand,3,Exclude adjacent South Island ring,2002,-5.08177591696137,29500.0,31079.384686118974
New Zealand,3,Exclude adjacent South Island ring,2003,-0.5384384640598163,30895.0,31062.251107767064
New Zealand,3,Exclude adjacent South Island ring,2004,-0.3036530395200986,32739.0,32838.71575854017
New Zealand,3,Exclude adjacent South Island ring,2005,2.050167795055861,35268.0,34559.47281814138
New Zealand,3,Exclude adjacent South Island ring,2006,0.4484324741826914,36686.0,36522.22249404345
New Zealand,3,Exclude adjacent South Island ring,2007,0.5630180799705627,38512.0,38296.38443167464
New Zealand,3,Exclude adjacent South Island ring,2008,0.7150683411091951,40998.0,40706.917718751836
New Zealand,3,Exclude adjacent South Island ring,2009,1.8135993912886568,41846.0,41100.59977270621
New Zealand,3,Exclude adjacent South Island ring,2010,2.1005110354416665,42420.0,41547.29449422143
New Zealand,3,Exclude adjacent South Island ring,2011,3.4133635692174216,44623.0,43150.12920949292
New Zealand,3,Exclude adjacent South Island ring,2012,5.646957057966286,47514.0,44974.31949121834
New Zealand,3,Exclude adjacent South Island ring,2013,10.434612531537782,49482.0,44806.60443832226
New Zealand,3,Exclude adjacent South Island ring,2014,13.282872617828351,54177.0,47824.52876417761
New Zealand,3,Exclude adjacent South Island ring,2015,14.92492171591322,55460.0,48257.59214967615
New Zealand,3,Exclude adjacent South Island ring,2016,12.545260611001034,55712.0,49501.86235967922
New Zealand,3,Exclude adjacent South Island ring,2017,8.971692720073403,56067.0,51450.976488017826
New Zealand,3,Exclude adjacent South Island ring,2018,9.16333159838731,59214.0,54243.48921288765
New Zealand,3,Exclude adjacent South Island ring,2019,7.607770540808893,60963.0,56652.97189377281
New Zealand,4,Exclude ring + network hubs,2000,6.0511839272899834,26604.0,25086.000000000033
New Zealand,4,Exclude ring + network hubs,2001,-1.7703180212015397,27799.0,28300.000000000036
New Zealand,4,Exclude ring + network hubs,2002,-3.711198877174784,29500.0,30637.00000000004
New Zealand,4,Exclude ring + network hubs,2003,6.157440813661676,30895.0,29103.00000000004
New Zealand,4,Exclude ring + network hubs,2004,5.3073434333685805,32739.0,31089.00000000004
New Zealand,4,Exclude ring + network hubs,2005,8.520262161912541,35268.0,32499.00000000004
New Zealand,4,Exclude ring + network hubs,2006,6.345479317041927,36686.0,34497.000000000044
New Zealand,4,Exclude ring + network hubs,2007,1.3793829630408438,38512.0,37988.000000000044
New Zealand,4,Exclude ring + network hubs,2008,2.9919360916420232,40998.0,39807.00000000006
New Zealand,4,Exclude ring + network hubs,2009,0.8410246523843683,41846.0,41497.00000000006
New Zealand,4,Exclude ring + network hubs,2010,5.635381129068254,42420.0,40157.00000000006
New Zealand,4,Exclude ring + network hubs,2011,6.219947631516159,44623.0,42010.00000000006
New Zealand,4,Exclude ring + network hubs,2012,6.823444771689871,47514.0,44479.00000000006
New Zealand,4,Exclude ring + network hubs,2013,14.58675867818339,49482.0,43183.00000000006
New Zealand,4,Exclude ring + network hubs,2014,13.960875052587138,54177.0,47540.000000000065
New Zealand,4,Exclude ring + network hubs,2015,18.587893172536045,55460.0,46767.00000000006
New Zealand,4,Exclude ring + network hubs,2016,17.650040123326292,55712.0,47354.00000000006
New Zealand,4,Exclude ring + network hubs,2017,13.52352798250572,56067.0,49388.000000000065
New Zealand,4,Exclude ring + network hubs,2018,12.8530588907946,59214.0,52470.000000000065
New Zealand,4,Exclude ring + network hubs,2019,10.222567755699666,60963.0,55309.000000000065
