Country,AnalysisType,CandidateTreatmentYear,Year,Gap,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio
Chile,placebo,1994,2009,-1902.863502911292,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2010,-76647.5890569659,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2011,-139464.07121426053,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2012,-43252.15114517324,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2013,-41112.69752910221,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2014,-137865.01410421357,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2015,105248.75678579137,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2016,92078.89078330481,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2017,-9492.081299061421,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2018,69252.99800244812,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2019,-9652.30147690326,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2020,86586.6502785869,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2021,108107.53737827484,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2022,120301.21401163656,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2023,73677.1217990662,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1995,1995,136729.31782298977,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,1996,89354.31046147668,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,1997,91396.9442154991,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,1998,29515.420686285477,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,1999,-39960.17915688944,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2000,-81334.11418181984,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2001,21262.36651205644,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2002,58208.43009866867,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2003,42030.75137015269,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2004,64007.72934870911,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2005,164274.365578498,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2006,227149.7942474438,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2007,76890.24091120041,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2008,15860.629626174923,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2009,90634.0183657296,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2010,-27030.448293003254,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2011,-82545.16952292575,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2012,35840.653981465846,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2013,137271.314635457,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2014,126243.53939432465,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2015,460966.6831876212,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2016,471618.2516042995,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2017,418798.86698551057,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2018,526346.310359383,73686.19061797408,306185.38367393037,4.15526140116739
Chile,placebo,1995,2019,454318.3428485305,73686.19061797408,306185.38367393037,4.15526140116739
